1	-0.173	0.087	0.734	-0.091	-0.282	0.481	-0.403	0.087	1.507	-0.075	-0.113	0.743	0.779	0.187	-0.575	0.149	0.265	-0.62	0.295	-0.53	0.306	0.658	0.233	0.525	0.636	0.453	-0.133	-0.142	-0.626	0.735	-0.093	-0.697	0.31	0.112	0.058	0.229	-0.148	-0.469	0.08	-0.308	0.607	0.213
2	0.04	-0.67	-0.271	-0.18	-0.38	0.07	-0.429	-0.138	0.702	-1.264	-0.928	0.534	0.625	0.187	-0.462	0.094	0.69	-0.086	-1.247	-0.113	0.757	0.09	-0.978	-0.497	0.119	0.581	-1.431	-1.173	-0.027	0.507	-0.732	-0.033	-0.272	-0.324	0.07	0.471	0.454	0.334	0.1	1.184	0.042	0.213
3	-0.526	0.547	-0.202	-0.162	-0.791	-0.694	0.112	-0.245	-0.171	0.246	0.555	-1.039	-0.267	0.187	0.699	0.59	0.121	0.797	-0.043	0.437	-0.098	-0.169	-1.752	-0.738	-1.375	-0.999	-0.365	0.332	-0.64	0.675	0.304	-0.772	0.119	0.158	-0.09	0.023	-1.393	0.156	0.52	0.439	-1.254	0.213
4	-0.241	-0.397	0.582	-0.357	-0.906	-0.466	1.043	0.518	1.397	-1.264	0.122	-0.881	0.662	-0.303	1.24	0.083	0.089	-0.023	1.975	0.585	0.769	0.51	0.269	0.6	0.941	0.453	0.126	-0.801	0.121	1.352	0.114	-0.497	0.219	0.572	0.594	0.64	-1.133	0.861	0.743	0.511	-0.744	1.016
5	-0.164	-0.06	-0.595	-0.172	0.112	-1.072	-0.268	-0.291	-0.027	1.413	-0.407	1.362	0.237	0.273	-0.095	0.447	0.221	-0.575	-0.865	-0.077	-1.19	0.067	-0.517	-0.022	-0.001	-1.097	-0.365	0.618	0.169	0.232	0.171	-0.319	0.067	-0.336	0.314	0.096	0.297	0.248	0.144	-0.183	-0.61	0.213
6	-0.164	-0.041	-0.34	-0.244	-0.282	0.171	-0.507	0.277	-0.133	-0.075	-0.407	0.383	-0.028	0.187	-0.229	-0.193	0.221	0.056	-0.15	0.054	0.231	-0.663	-0.632	-0.497	0.119	0.453	-0.912	-0.601	-0.671	0.349	-0.408	0.056	-0.016	-0.559	-0.09	-0.005	0.309	-0.347	-0.191	0.007	-0.063	0.213
7	-0.339	-0.789	-0.482	0.06	0.208	0.11	-0.822	0.31	0.461	0.166	-0.516	0.556	0.423	0.627	-0.334	0.834	0.213	-0.023	-0.555	0.089	-0.143	0.479	0.101	-0.304	0.118	-0.069	-1.065	-0.117	-0.1	0.38	-0.093	-0.745	-0.016	-0.376	0.649	0.423	0.23	0.484	0.743	0.759	-0.078	1.277
8	0.664	-0.428	0.125	0.334	0.116	1.245	-0.364	0.615	-0.133	0.072	-0.19	-1.029	0.316	0.048	0.264	0.008	1.012	-0.359	0.628	0.714	1.243	0.437	1.607	1.323	0.421	0.89	-0.429	-0.616	-0.775	-0.118	-0.126	0.618	0.015	0.617	1.128	1.048	1.652	1.47	1.279	1.184	0.841	0.397
9	0.991	-0.565	-0.099	0.406	-0.17	1.28	0.32	0.286	-0.565	-0.83	0.13	1.567	0.662	0.658	-0.267	1.067	0.351	-0.232	-0.18	0.19	0.847	0.692	-0.614	-0.447	0.394	-0.284	0.631	-0.616	0.049	0.698	-0.122	0	0.368	0.238	1.128	0.675	-1.836	-0.594	0.636	0.659	-0.846	-0.356
10	0.04	-0.789	-0.897	0.15	-0.282	0.505	-0.734	0.282	-1.103	-0.075	-0.487	1.289	0.19	0.187	-0.229	0.301	0.415	0.056	-0.383	-0.131	0.231	-0.802	-0.526	-0.795	-0.574	-0.393	-0.966	-0.801	-0.624	0.232	0.174	0.048	-0.669	-0.319	0.808	0.061	-1.154	0.527	0.743	0.308	0.042	0.213
